date,Mischa Barton,Kim Fields,Jodie Sweetin,Doug Flutie,Dancing with the Stars,Von Miller,Antonio Brown,Paige VanZant,Geraldo Rivera,Nyle DiMarco,Ginger Zee,Wanya Morris,Marla Maples
2016-04-22,1,1,3,0,7,1.0,1.0,1.0,1.0,1.892770105605199,0.9463850528025995,0.0,0.9463850528025995
2016-04-23,1,1,4,1,6,1.0,1.0,1.0,1.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-24,1,1,3,0,5,1.0,1.0,2.0,0.0,0.9463850528025995,0.0,0.0,0.9463850528025995
2016-04-25,1,1,4,0,8,1.0,1.0,1.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-26,1,4,6,7,57,4.0,4.0,6.0,0.0,3.785540211210398,3.785540211210398,0.9463850528025995,0.9463850528025995
2016-04-27,1,1,2,1,13,2.0,2.0,2.0,0.0,1.892770105605199,0.9463850528025995,0.0,0.9463850528025995
2016-04-28,1,1,2,1,8,2.0,2.0,1.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-29,1,1,1,0,6,3.0,3.0,1.0,1.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-30,1,1,1,1,6,1.0,2.0,1.0,0.0,0.9463850528025995,0.0,0.0,0.9463850528025995
2016-05-01,1,1,1,0,5,1.0,1.0,1.0,1.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-05-02,1,1,2,0,6,1.0,1.0,1.0,0.0,0.9463850528025995,0.0,0.0,0.0
2016-05-03,1,7,4,0,59,5.0,4.0,7.0,0.0,3.785540211210398,4.731925264012998,0.9463850528025995,0.9463850528025995
2016-05-04,1,1,1,0,12,1.0,2.0,3.0,0.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-05-05,1,1,1,0,7,1.0,1.0,2.0,1.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-05-06,1,1,1,0,5,1.0,1.0,6.0,0.0,0.9463850528025995,0.0,0.0,4.731925264012998
2016-05-07,1,0,1,0,5,1.0,1.0,3.0,1.0,0.9463850528025995,0.9463850528025995,0.0,3.785540211210398
2016-05-08,1,1,1,0,5,1.0,1.0,2.0,1.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-05-09,1,1,1,0,6,1.0,1.0,1.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-05-10,1,1,8,0,52,1.0,5.0,7.0,0.0,3.785540211210398,6.6246953696181965,1.892770105605199,0.9463850528025995
2016-05-11,1,0,2,0,10,1.0,2.0,2.0,1.0,1.892770105605199,0.9463850528025995,0.0,0.9463850528025995
2016-05-12,1,1,1,0,6,1.0,1.0,1.0,0.0,1.892770105605199,0.9463850528025995,0.0,0.9463850528025995
2016-05-13,1,1,1,0,5,1.0,1.0,1.0,0.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-05-14,1,0,1,1,6,1.0,1.0,2.0,0.0,0.9463850528025995,0.9463850528025995,0.0,3.785540211210398
2016-05-15,1,1,2,0,6,1.0,1.0,2.0,0.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-05-16,0,0,1,0,8,1.0,1.0,1.0,0.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-05-17,1,1,2,0,67,1.0,11.0,13.0,0.0,8.517465475223396,10.410235580828594,8.517465475223396,0.9463850528025995
2016-05-18,1,0,1,0,14,1.0,3.0,3.0,0.0,1.892770105605199,2.8391551584077988,0.9463850528025995,0.9463850528025995
2016-05-19,1,0,1,0,8,1.0,2.0,2.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-05-20,1,0,1,0,6,0.0,2.0,2.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-05-21,1,0,1,0,6,1.0,2.0,2.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-05-22,0,0,1,0,7,1.0,1.0,2.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-05-23,0,0,1,0,15,1.0,1.0,2.0,0.0,1.892770105605199,7.571080422420796,0.0,0.0
2016-05-24,1,0,1,0,89,1.0,2.0,15.0,0.0,10.410235580828594,9.463850528025995,0.0,0.9463850528025995
