date,Charo,Mr. T,Heather Morris,Nancy Kerrigan,Dancing with the Stars,Bonner Bolton,Simone Biles,David Ross,Rashad Jennings,Chris Kattan,Erika Jayne,Normani,Nick Viall
2017-04-25,1,0,16,6,50,2.9486921529175047,5.8973843058350095,3.93158953722334,5.8973843058350095,0.0,1.96579476861167,5.8973843058350095,2.9486921529175047
2017-04-26,0,0,3,1,11,0.982897384305835,1.96579476861167,0.982897384305835,0.982897384305835,0.0,1.96579476861167,0.982897384305835,0.982897384305835
2017-04-27,0,0,1,1,6,0.982897384305835,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.982897384305835
2017-04-28,0,0,1,1,5,0.0,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-29,0,0,1,0,5,0.0,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-30,0,0,1,1,4,0.0,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.0,0.982897384305835
2017-05-01,0,0,1,0,6,0.0,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.0,0.982897384305835
2017-05-02,0,0,1,5,50,1.96579476861167,2.9486921529175047,5.8973843058350095,2.9486921529175047,0.0,0.982897384305835,3.93158953722334,2.9486921529175047
2017-05-03,0,0,0,1,13,0.982897384305835,0.982897384305835,2.9486921529175047,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.982897384305835
2017-05-04,0,0,0,0,7,0.0,0.982897384305835,1.96579476861167,0.0,0.0,0.0,0.0,0.982897384305835
2017-05-05,0,0,0,0,5,0.0,0.982897384305835,0.982897384305835,0.0,0.0,0.0,0.0,0.982897384305835
2017-05-06,0,0,1,0,5,0.0,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.0,0.982897384305835
2017-05-07,0,0,0,0,5,0.0,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.0,0.982897384305835
2017-05-08,0,0,0,0,6,0.0,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.982897384305835,0.982897384305835
2017-05-09,0,0,0,1,45,7.86317907444668,6.880281690140845,6.880281690140845,4.914486921529175,0.0,0.982897384305835,15.72635814889336,0.982897384305835
2017-05-10,0,0,0,0,10,1.96579476861167,4.914486921529175,1.96579476861167,0.982897384305835,0.0,0.0,1.96579476861167,0.982897384305835
2017-05-11,0,0,0,0,5,0.982897384305835,2.9486921529175047,0.982897384305835,0.0,0.0,0.0,0.982897384305835,0.982897384305835
2017-05-12,0,0,0,0,4,0.982897384305835,1.96579476861167,0.982897384305835,0.0,0.0,0.0,1.96579476861167,0.982897384305835
2017-05-13,1,0,0,0,5,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.0,1.96579476861167,0.982897384305835
2017-05-14,1,0,0,0,4,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.0,0.982897384305835,0.982897384305835
2017-05-15,0,0,0,0,6,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.0,0.982897384305835,0.982897384305835
2017-05-16,0,0,0,0,53,0.982897384305835,14.743460764587525,9.82897384305835,7.86317907444668,0.0,0.0,12.777665995975854,0.982897384305835
2017-05-17,0,0,0,0,12,0.982897384305835,4.914486921529175,1.96579476861167,1.96579476861167,0.0,0.0,2.9486921529175047,0.982897384305835
2017-05-18,0,0,0,0,6,0.982897384305835,2.9486921529175047,1.96579476861167,0.982897384305835,0.0,0.0,0.982897384305835,0.982897384305835
2017-05-19,0,0,0,0,5,0.0,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.982897384305835
2017-05-20,0,0,0,0,5,0.0,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.982897384305835
2017-05-21,1,0,0,0,5,0.0,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.982897384305835
2017-05-22,0,0,0,0,11,0.0,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.982897384305835
2017-05-23,0,0,0,0,58,0.0,1.96579476861167,8.846076458752515,7.86317907444668,0.0,0.0,7.86317907444668,1.96579476861167
